,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2012,14,13,19,37,36,40,43,31,41,26,25,32,23,18,13,6,5,2,0,0,0,0,0,0,0,0,0
2013,29,46,62,103,94,103,99,108,113,89,100,86,43,41,26,37,20,4,1,1,2,1,0,0,0,0,0
2014,24,46,72,115,117,117,142,132,140,88,108,72,51,42,22,17,15,9,6,4,3,3,0,0,0,0,0
2015,23,42,86,118,118,152,159,147,164,129,85,94,67,49,37,25,24,5,7,3,2,1,1,0,0,0,0
2016,19,38,107,119,149,171,144,137,158,143,111,76,66,58,47,30,21,11,10,8,7,3,2,0,0,0,0
2017,15,38,92,106,126,162,158,167,160,172,112,136,115,78,53,32,21,14,9,8,9,1,1,0,0,0,0
2018,33,37,73,102,122,162,147,159,188,180,166,163,149,103,65,57,52,29,23,14,11,4,2,2,2,0,0
2019,29,45,56,93,127,165,154,164,170,196,181,158,179,125,112,79,58,41,37,22,17,8,3,4,0,0,0
2020,11,32,51,53,77,101,123,149,130,141,137,138,135,133,85,53,41,33,23,13,8,5,0,3,0,0,0
2021,8,39,45,70,80,112,132,164,174,184,173,161,151,127,92,71,54,43,28,16,12,10,8,1,4,1,1
2022,12,45,46,65,94,148,160,197,161,178,158,163,156,119,107,94,77,37,27,25,11,9,4,2,2,0,0
2023,4,17,21,33,60,61,81,82,103,90,75,71,89,75,51,51,38,19,24,16,4,5,1,2,0,0,0
