,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
2012,14,9,17,22,30,22,23,23,22,25,28,19,18,16,9,16,8,13,15,9,9,17,12,5,3,2,1,4,1,4,0,1,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,29,43,45,61,81,71,69,50,64,74,57,52,60,61,47,42,33,29,32,21,15,16,29,25,20,10,12,6,3,2,6,14,5,4,3,2,0,2,1,2,1,1,1,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,24,38,56,71,90,74,88,69,85,100,81,75,62,57,41,53,32,34,28,25,21,21,19,16,12,11,14,5,6,4,3,4,2,0,2,6,2,3,1,4,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,23,34,62,76,92,96,97,103,86,93,94,96,84,69,54,47,45,39,40,20,14,28,27,16,13,12,13,10,3,2,4,3,6,4,5,7,3,1,3,1,0,2,0,1,1,1,0,1,0,0,0,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,19,32,67,86,109,104,110,120,81,82,77,80,76,93,48,74,41,31,44,31,34,29,25,13,17,14,8,14,3,4,10,4,7,6,7,5,11,1,0,5,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,15,35,67,71,90,89,105,130,98,101,92,89,79,63,69,83,58,56,57,55,50,23,30,31,18,13,16,11,8,8,11,5,7,6,3,8,5,6,4,2,1,0,2,1,2,1,0,0,1,2,0,3,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,33,28,45,77,86,84,108,110,94,113,107,99,95,78,68,78,86,74,65,64,61,48,59,42,33,24,22,19,14,13,19,12,4,8,12,11,10,3,1,2,6,2,4,4,5,2,1,1,1,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,29,33,42,55,75,110,97,111,105,93,105,118,109,91,107,96,75,77,80,66,57,66,47,41,45,40,26,27,21,17,18,20,11,14,13,14,8,12,8,4,5,2,8,1,2,5,2,1,2,1,3,1,1,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,11,28,38,34,43,77,72,66,80,94,80,95,70,77,67,83,64,75,71,52,53,40,40,32,33,16,20,23,19,12,14,10,11,12,8,6,6,4,6,2,3,4,1,4,2,1,1,2,0,2,0,0,1,2,0,2,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,33,38,40,39,64,76,66,101,120,95,100,87,100,98,90,75,88,75,64,65,44,44,38,42,34,32,14,24,18,15,13,15,13,8,6,8,5,2,2,4,7,4,8,3,4,3,2,3,5,1,1,1,1,0,3,1,2,2,1,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12,35,34,45,51,93,68,86,121,103,111,91,116,112,92,96,69,69,82,58,56,42,51,55,43,41,36,22,22,25,26,28,12,10,11,6,13,6,7,4,5,2,0,1,2,4,3,1,1,3,1,2,1,0,1,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,4,15,14,22,39,38,34,44,62,63,55,58,48,44,41,54,23,39,29,40,32,37,32,31,17,12,15,22,25,12,10,12,9,11,2,2,1,3,1,2,5,0,0,1,2,0,2,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
