year,,active listen,goal,accountability,decision,decision make,creativity,curiosity,analytical,commitment,diverse,detail,communication,strategic think,critical think,optimism,enthusiasm,integrity,problem solve,passion,presentation,coordination,initiative,flexibility,conceptual,leadership,ethic,adaptive,argumentation,mentor,impartiality,motivate,self confidence,emotional intelligence,coach,oral communication,eagerness,negotiation,speak,influence,hospitality,kindness,conflict management,social skill,persuasion,interpersonal communication,self organize
2012,term_count,512.0,460.0,370.0,368.0,328.0,268.0,140.0,143.0,136.0,147.0,103.0,146.0,80.0,91.0,156.0,120.0,89.0,135.0,92.0,95.0,129.0,115.0,58.0,66.0,68.0,55.0,18.0,32.0,19.0,28.0,13.0,17.0,20.0,7.0,15.0,19.0,20.0,16.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0
2013,term_count,1607.0,1260.0,1210.0,1084.0,953.0,702.0,458.0,472.0,413.0,367.0,268.0,349.0,296.0,280.0,481.0,331.0,283.0,286.0,218.0,374.0,320.0,269.0,161.0,216.0,201.0,116.0,91.0,142.0,47.0,109.0,74.0,46.0,62.0,25.0,51.0,42.0,39.0,44.0,27.0,13.0,4.0,2.0,5.0,1.0,0.0,0.0
2014,term_count,1645.0,1283.0,1397.0,1003.0,882.0,673.0,530.0,469.0,356.0,409.0,361.0,446.0,327.0,362.0,434.0,397.0,330.0,322.0,196.0,314.0,395.0,291.0,178.0,219.0,197.0,131.0,100.0,134.0,65.0,113.0,60.0,67.0,61.0,16.0,60.0,33.0,72.0,46.0,29.0,28.0,12.0,6.0,3.0,1.0,1.0,0.0
2015,term_count,1975.0,1504.0,1627.0,1133.0,995.0,783.0,557.0,574.0,440.0,456.0,492.0,588.0,346.0,352.0,667.0,449.0,381.0,419.0,257.0,371.0,343.0,365.0,256.0,240.0,232.0,197.0,133.0,137.0,70.0,124.0,82.0,56.0,72.0,29.0,58.0,49.0,59.0,33.0,23.0,35.0,20.0,3.0,1.0,0.0,1.0,0.0
2016,term_count,2424.0,1579.0,1734.0,1183.0,1050.0,835.0,550.0,591.0,506.0,435.0,536.0,531.0,436.0,405.0,634.0,469.0,448.0,456.0,437.0,350.0,436.0,342.0,279.0,292.0,215.0,229.0,183.0,163.0,85.0,120.0,91.0,58.0,82.0,61.0,69.0,49.0,57.0,40.0,40.0,48.0,16.0,3.0,1.0,2.0,3.0,0.0
2017,term_count,2450.0,1876.0,1764.0,1611.0,1456.0,1028.0,706.0,706.0,587.0,564.0,623.0,735.0,568.0,531.0,562.0,638.0,493.0,476.0,526.0,434.0,498.0,504.0,257.0,322.0,304.0,255.0,186.0,214.0,125.0,142.0,80.0,62.0,81.0,97.0,77.0,56.0,45.0,68.0,31.0,72.0,29.0,5.0,2.0,3.0,0.0,0.0
2018,term_count,2957.0,2285.0,2163.0,2115.0,1914.0,1441.0,958.0,877.0,723.0,753.0,820.0,801.0,846.0,714.0,531.0,768.0,615.0,661.0,728.0,633.0,557.0,500.0,364.0,479.0,447.0,369.0,280.0,274.0,195.0,175.0,96.0,79.0,101.0,160.0,93.0,83.0,71.0,88.0,67.0,35.0,57.0,5.0,1.0,6.0,1.0,0.0
2019,term_count,3340.0,2267.0,2261.0,2500.0,2177.0,1766.0,1160.0,1224.0,1075.0,1017.0,942.0,872.0,1076.0,885.0,626.0,732.0,785.0,748.0,783.0,667.0,580.0,564.0,552.0,483.0,463.0,424.0,317.0,287.0,245.0,182.0,130.0,174.0,119.0,161.0,97.0,101.0,97.0,102.0,79.0,50.0,54.0,7.0,6.0,5.0,3.0,0.0
2020,term_count,2739.0,1904.0,1785.0,1753.0,1523.0,1269.0,847.0,727.0,818.0,733.0,712.0,641.0,765.0,691.0,593.0,591.0,564.0,596.0,642.0,535.0,425.0,428.0,412.0,371.0,357.0,255.0,276.0,207.0,244.0,143.0,96.0,143.0,80.0,91.0,80.0,88.0,68.0,84.0,64.0,39.0,39.0,8.0,3.0,3.0,1.0,1.0
2021,term_count,3026.0,2481.0,2318.0,2161.0,1912.0,1402.0,1013.0,1087.0,1015.0,1062.0,947.0,656.0,974.0,974.0,697.0,630.0,803.0,678.0,700.0,651.0,600.0,560.0,480.0,381.0,470.0,394.0,284.0,233.0,276.0,183.0,110.0,126.0,103.0,127.0,90.0,99.0,81.0,89.0,82.0,35.0,66.0,13.0,3.0,1.0,1.0,3.0
2022,term_count,3088.0,2556.0,2425.0,2303.0,2072.0,1466.0,1052.0,990.0,1049.0,1110.0,992.0,816.0,777.0,953.0,755.0,874.0,906.0,711.0,777.0,724.0,640.0,588.0,535.0,455.0,420.0,457.0,282.0,294.0,346.0,132.0,129.0,128.0,117.0,112.0,101.0,123.0,76.0,71.0,72.0,31.0,68.0,8.0,6.0,2.0,1.0,0.0
2023,term_count,1565.0,1418.0,1157.0,1155.0,1049.0,760.0,526.0,455.0,583.0,617.0,550.0,399.0,428.0,424.0,430.0,414.0,456.0,357.0,352.0,364.0,368.0,299.0,277.0,230.0,212.0,267.0,182.0,165.0,195.0,68.0,82.0,75.0,73.0,62.0,56.0,59.0,40.0,30.0,21.0,12.0,28.0,2.0,1.0,1.0,1.0,3.0
